Scenario - visual LTP Rap V4.0 HVA (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 04/17/2015 15:39:10

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

07_S0302_v0	1	Response	128	120080	129913	3
07_S0302_v0	3	Picture	full1n	130334	0	2	3167	3	0	3120	other	0
07_S0302_v0	4	Picture	full1i	141265	0	238	2903	239	0	2790	other	0
07_S0302_v0	5	Picture	full1n	154502	0	1	4500	2	0	4450	other	0
07_S0302_v0	6	Picture	full0n	167573	0	263	3595	265	0	3450	other	0
07_S0302_v0	7	Picture	full1i	178335	0	2	4834	3	0	4790	other	0
07_S0302_v0	8	Picture	full1n	190502	0	1	4333	3	0	4290	other	0
07_S0302_v0	9	Picture	full0i	202669	0	1	3500	2	0	3450	other	0
07_S0302_v0	10	Picture	full0n	215002	0	2	4167	3	0	4120	other	0
07_S0302_v0	11	Picture	blue0i	226473	0	198	3030	199	0	2950	false_alarm	11
07_S0302_v0	11	Response	10	231104	4631	3
07_S0302_v0	12	Picture	full1i	238503	0	1	3833	2	0	3790	other	0
07_S0302_v0	13	Picture	full0n	251336	0	2	5000	4	0	4950	other	0
07_S0302_v0	14	Picture	full0i	264003	0	2	4167	3	0	4120	other	0
07_S0302_v0	15	Picture	full1n	277503	0	2	4167	3	0	4120	other	0
07_S0302_v0	16	Picture	full1i	290170	0	2	3667	3	0	3620	other	0
07_S0302_v0	17	Picture	full1n	301504	0	2	4500	4	0	4450	other	0
07_S0302_v0	18	Picture	blue1i	313670	0	2	3334	3	0	3290	false_alarm	19
07_S0302_v0	18	Response	10	317594	3924	2
07_S0302_v0	19	Picture	full1n	325837	0	2	4334	3	0	4290	other	0
07_S0302_v0	20	Picture	full0n	338004	0	2	4667	3	0	4620	other	0
07_S0302_v0	21	Picture	full1i	349838	0	1	2500	2	0	2450	other	0
07_S0302_v0	22	Picture	full0i	362171	0	2	3000	4	0	2950	other	0
07_S0302_v0	23	Picture	full0n	375671	0	2	5000	4	0	4950	other	0
07_S0302_v0	24	Picture	full0i	389172	0	1	4500	2	0	4450	other	0
07_S0302_v0	25	Picture	full0n	402005	0	2	3000	3	0	2950	other	0
07_S0302_v0	26	Picture	full1n	414672	0	1	3333	3	0	3290	other	0
07_S0302_v0	27	Picture	blue1i	426505	0	2	3167	3	0	3120	false_alarm	29
07_S0302_v0	27	Response	10	430694	4189	2
07_S0302_v0	28	Picture	full0i	439172	0	2	3834	3	0	3790	other	0
07_S0302_v0	29	Picture	full0n	451506	0	1	5000	2	0	4950	other	0
07_S0302_v0	30	Picture	full0i	463339	0	2	2500	4	0	2450	other	0
07_S0302_v0	31	Picture	full1n	474673	0	1	4333	3	0	4290	other	0
07_S0302_v0	32	Picture	full1i	486840	0	1	2833	2	0	2790	other	0
07_S0302_v0	33	Picture	full0n	498340	0	1	2833	3	0	2790	other	0
07_S0302_v0	34	Picture	full1n	509173	0	2	4167	3	0	4120	other	0
07_S0302_v0	35	Picture	full1i	521340	0	2	3667	3	0	3620	other	0
07_S0302_v0	36	Picture	full1n	534174	0	1	3666	3	0	3620	other	0
07_S0302_v0	37	Picture	full0i	546341	0	1	5000	2	0	4950	other	0
07_S0302_v0	38	Picture	blue1i	557674	0	1	2833	3	0	2790	false_alarm	41
07_S0302_v0	38	Response	10	561794	4120	3
07_S0302_v0	39	Picture	full1n	568674	0	2	3000	3	0	2950	other	0
07_S0302_v0	40	Picture	full0n	581341	0	2	2834	3	0	2790	other	0
07_S0302_v0	41	Picture	full0i	592341	0	2	4000	4	0	3950	other	0
07_S0302_v0	42	Picture	full0n	604508	0	1	3667	2	0	3620	other	0
07_S0302_v0	43	Picture	full0i	617342	0	1	2833	2	0	2790	other	0
07_S0302_v0	44	Picture	full0n	630508	0	2	4334	3	0	4290	other	0
07_S0302_v0	45	Picture	full1i	643675	0	2	3667	3	0	3620	other	0
07_S0302_v0	46	Picture	full0i	656342	0	2	3667	3	0	3620	other	0
07_S0302_v0	47	Picture	full1n	667176	0	1	4500	2	0	4450	other	0
07_S0302_v0	48	Picture	full0n	679343	0	1	3166	2	0	3120	other	0
07_S0302_v0	49	Picture	full1i	690843	0	1	3000	2	0	2950	other	0
07_S0302_v0	50	Picture	blue0i	702676	0	2	3167	3	0	3120	false_alarm	54
07_S0302_v0	50	Response	10	706394	3718	2
07_S0302_v0	51	Picture	full0n	714176	0	2	3834	3	0	3790	other	0
07_S0302_v0	52	Picture	full0i	726510	0	1	3000	2	0	2950	other	0
07_S0302_v0	53	Picture	full0n	738010	0	2	4833	4	0	4790	other	0
07_S0302_v0	54	Picture	full1n	751177	0	1	2500	2	0	2450	other	0
07_S0302_v0	55	Picture	full1i	762010	0	2	3000	4	0	2950	other	0
07_S0302_v0	56	Picture	full0i	775511	0	1	3000	2	0	2950	other	0
07_S0302_v0	57	Picture	full0n	786844	0	2	3667	3	0	3620	other	0
07_S0302_v0	58	Picture	full1n	800011	0	1	3333	3	0	3290	other	0
07_S0302_v0	59	Picture	full1i	812178	0	1	4500	2	0	4450	other	0
07_S0302_v0	60	Picture	blue1n	823909	0	270	4269	271	0	4120	false_alarm	65
07_S0302_v0	60	Response	10	828294	4385	2
07_S0302_v0	61	Picture	full0i	836345	0	1	2667	2	0	2620	other	0
07_S0302_v0	62	Picture	full0n	849012	0	1	4666	3	0	4620	other	0
07_S0302_v0	63	Picture	full0i	861179	0	1	2666	2	0	2620	other	0
07_S0302_v0	64	Picture	full1i	874012	0	1	4667	2	0	4620	other	0
07_S0302_v0	65	Picture	full0n	885512	0	2	2834	3	0	2790	other	0
07_S0302_v0	66	Picture	full1n	897679	0	2	4000	3	0	3950	other	0
07_S0302_v0	67	Picture	full1i	910513	0	1	3500	2	0	3450	other	0
07_S0302_v0	68	Picture	full1n	922846	0	1	4000	2	0	3950	other	0
07_S0302_v0	69	Picture	full0i	935013	0	1	4500	2	0	4450	other	0
07_S0302_v0	70	Picture	blue0n	947180	0	1	2500	2	0	2450	false_alarm	76
07_S0302_v0	70	Response	10	951794	4614	2
07_S0302_v0	71	Picture	full0i	959347	0	1	4166	3	0	4120	other	0
07_S0302_v0	72	Picture	full0n	970180	0	2	4834	3	0	4790	other	0
07_S0302_v0	73	Picture	full0i	981180	0	2	2500	4	0	2450	other	0
07_S0302_v0	74	Picture	full0n	994014	0	1	4833	2	0	4790	other	0
07_S0302_v0	75	Picture	full0i	1006681	0	1	3333	2	0	3290	other	0
07_S0302_v0	76	Picture	full1i	1020181	0	1	3500	2	0	3450	other	0
07_S0302_v0	77	Picture	full1n	1032848	0	1	3833	2	0	3790	other	0
07_S0302_v0	78	Picture	full0n	1045681	0	2	4500	3	0	4450	other	0
