Scenario - visual LTP Rap V4.0 HVB (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 10/23/2015 12:17:44

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

07_S0314_v0	1	Response	128	-6451	3382	4
07_S0314_v0	3	Picture	full1n	3833	0	1	4666	3	0	4620	other	0
07_S0314_v0	4	Picture	full0n	15304	0	197	2696	198	0	2620	other	0
07_S0314_v0	5	Picture	full0i	27166	0	2	4334	3	0	4290	other	0
07_S0314_v0	6	Picture	blue0n	39967	0	201	2700	202	0	2620	false_alarm	6
07_S0314_v0	6	Response	10	43471	3504	3
07_S0314_v0	7	Picture	full1i	51968	0	200	4032	201	0	3950	other	0
07_S0314_v0	8	Picture	full1n	63000	0	2	2500	3	0	2450	other	0
07_S0314_v0	9	Picture	full0i	74334	0	1	4833	2	0	4790	other	0
07_S0314_v0	10	Picture	full1i	85167	0	2	2500	3	0	2450	other	0
07_S0314_v0	11	Picture	full0n	97334	0	1	2833	3	0	2790	other	0
07_S0314_v0	12	Picture	full1n	110834	0	2	4667	3	0	4620	other	0
07_S0314_v0	13	Picture	full1i	123001	0	1	4833	3	0	4790	other	0
07_S0314_v0	14	Picture	full1n	133835	0	1	4166	3	0	4120	other	0
07_S0314_v0	15	Picture	full1i	146668	0	2	4667	3	0	4620	other	0
07_S0314_v0	16	Picture	full0i	159835	0	1	4000	2	0	3950	other	0
07_S0314_v0	17	Picture	blue0n	172502	0	1	3000	2	0	2950	false_alarm	18
07_S0314_v0	17	Response	10	175971	3469	2
07_S0314_v0	18	Picture	full0i	184669	0	1	4333	2	0	4290	other	0
07_S0314_v0	19	Picture	full0n	195502	0	2	4167	3	0	4120	other	0
07_S0314_v0	20	Picture	full1n	208169	0	2	3167	3	0	3120	other	0
07_S0314_v0	21	Picture	full0i	219169	0	2	3834	3	0	3790	other	0
07_S0314_v0	22	Picture	full0n	232001	0	3	4168	5	0	4120	other	0
07_S0314_v0	23	Picture	full1i	243503	0	1	2500	2	0	2450	other	0
07_S0314_v0	24	Picture	full1n	255336	0	2	4165	6	0	4120	other	0
07_S0314_v0	25	Picture	full0i	266170	0	1	3000	2	0	2950	other	0
07_S0314_v0	26	Picture	full0n	278837	0	1	2833	2	0	2790	other	0
07_S0314_v0	27	Picture	full0i	290670	0	2	3167	3	0	3120	other	0
07_S0314_v0	28	Picture	full1i	302171	0	2	4833	3	0	4790	other	0
07_S0314_v0	29	Picture	blue1n	313504	0	1	4167	4	0	4120	false_alarm	31
07_S0314_v0	29	Response	10	317671	4167	2
07_S0314_v0	30	Picture	full0n	325004	0	2	5000	3	0	4950	other	0
07_S0314_v0	31	Picture	full1i	337171	0	2	4500	4	0	4450	other	0
07_S0314_v0	32	Picture	full1n	348505	0	1	4500	2	0	4450	other	0
07_S0314_v0	33	Picture	full1i	359838	0	1	4167	2	0	4120	other	0
07_S0314_v0	34	Picture	full1n	373338	0	2	4500	3	0	4450	other	0
07_S0314_v0	35	Picture	full0i	386172	0	1	2500	2	0	2450	other	0
07_S0314_v0	36	Picture	full0n	397505	0	2	4000	4	0	3950	other	0
07_S0314_v0	37	Picture	full0i	410172	0	1	4834	2	0	4790	other	0
07_S0314_v0	38	Picture	full1i	421672	0	2	2834	3	0	2790	other	0
07_S0314_v0	39	Picture	full1n	434839	0	2	4333	4	0	4290	other	0
07_S0314_v0	40	Picture	full1i	447006	0	1	3333	3	0	3290	other	0
07_S0314_v0	41	Picture	full1n	459340	0	1	5000	2	0	4950	other	0
07_S0314_v0	42	Picture	full0n	471673	0	1	3167	2	0	3120	other	0
07_S0314_v0	43	Picture	full0i	483173	0	2	4000	3	0	3950	other	0
07_S0314_v0	44	Picture	full0n	496673	0	2	4000	4	0	3950	other	0
07_S0314_v0	45	Picture	blue1i	510174	0	1	4833	2	0	4790	false_alarm	48
07_S0314_v0	45	Response	10	514771	4597	2
07_S0314_v0	46	Picture	full0i	522007	0	1	3000	2	0	2950	other	0
07_S0314_v0	47	Picture	full1n	534841	0	1	3166	3	0	3120	other	0
07_S0314_v0	48	Picture	full1i	548008	0	1	3333	2	0	3290	other	0
07_S0314_v0	49	Picture	full0n	560674	0	2	2834	3	0	2790	other	0
07_S0314_v0	50	Picture	blue1n	572008	0	1	4167	2	0	4120	false_alarm	54
07_S0314_v0	50	Response	10	576471	4463	2
07_S0314_v0	51	Picture	full1i	583008	0	1	3667	2	0	3620	other	0
07_S0314_v0	52	Picture	blue0i	593842	0	1	3833	2	0	3790	false_alarm	57
07_S0314_v0	52	Response	10	598071	4229	2
07_S0314_v0	53	Picture	full1n	604842	0	1	3000	2	0	2950	other	0
07_S0314_v0	54	Picture	full1i	616675	0	2	4834	3	0	4790	other	0
07_S0314_v0	55	Picture	full1n	628842	0	1	4500	2	0	4450	other	0
07_S0314_v0	56	Picture	full1i	640676	0	1	4500	2	0	4450	other	0
07_S0314_v0	57	Picture	blue1n	653009	0	1	3167	2	0	3120	false_alarm	63
07_S0314_v0	57	Response	10	656471	3462	2
07_S0314_v0	58	Picture	full0n	664343	0	1	4500	2	0	4450	other	0
07_S0314_v0	59	Picture	full1i	675843	0	1	3166	3	0	3120	other	0
07_S0314_v0	60	Picture	full1n	687176	0	2	3500	4	0	3450	other	0
07_S0314_v0	61	Picture	full1i	698010	0	1	4333	2	0	4290	other	0
07_S0314_v0	62	Picture	full1n	709010	0	1	3000	2	0	2950	other	0
07_S0314_v0	63	Picture	full1i	720343	0	2	3500	4	0	3450	other	0
07_S0314_v0	64	Picture	blue1n	732177	0	1	3333	3	0	3290	false_alarm	71
07_S0314_v0	64	Response	10	735871	3694	2
07_S0314_v0	65	Picture	full0i	744511	0	1	3166	2	0	3120	other	0
07_S0314_v0	66	Picture	full1i	757677	0	2	4667	3	0	4620	other	0
07_S0314_v0	67	Picture	full0n	769844	0	2	2667	3	0	2620	other	0
07_S0314_v0	68	Picture	full1n	782678	0	1	3666	3	0	3620	other	0
07_S0314_v0	69	Picture	full1i	794178	0	1	4833	2	0	4790	other	0
07_S0314_v0	70	Picture	full1n	805011	0	2	3334	3	0	3290	other	0
07_S0314_v0	71	Picture	full1i	817178	0	2	3834	3	0	3790	other	0
07_S0314_v0	72	Picture	full0i	828178	0	2	3834	3	0	3790	other	0
07_S0314_v0	73	Picture	full1n	841679	0	1	4500	2	0	4450	other	0
07_S0314_v0	74	Picture	full0n	854012	0	2	4833	4	0	4790	other	0
07_S0314_v0	75	Picture	full1i	864846	0	1	2666	3	0	2620	other	0
07_S0314_v0	76	Picture	full0i	876346	0	1	4500	2	0	4450	other	0
07_S0314_v0	77	Picture	full1n	888513	0	1	4333	2	0	4290	other	0
07_S0314_v0	78	Picture	full0n	900679	0	2	3834	3	0	3790	other	0
07_S0314_v0	79	Picture	blue0i	913013	0	1	2833	3	0	2790	false_alarm	87
07_S0314_v0	79	Response	10	917271	4258	2
07_S0314_v0	80	Picture	full0n	926513	0	2	4167	3	0	4120	other	0
07_S0314_v0	81	Picture	full0i	938680	0	1	2500	2	0	2450	other	0
07_S0314_v0	82	Picture	full1i	951514	0	1	4833	2	0	4790	other	0
07_S0314_v0	83	Picture	full1n	962514	0	1	2833	2	0	2790	other	0
07_S0314_v0	84	Picture	full1i	975181	0	1	4000	2	0	3950	other	0
07_S0314_v0	85	Picture	full0n	988681	0	1	3833	2	0	3790	other	0
07_S0314_v0	86	Picture	full1n	1000014	0	2	4667	3	0	4620	other	0
07_S0314_v0	87	Picture	full1i	1011848	0	1	4000	2	0	3950	other	0
07_S0314_v0	88	Picture	full1n	1022848	0	1	3167	2	0	3120	other	0
07_S0314_v0	89	Picture	full0i	1036348	0	2	3834	3	0	3790	other	0
07_S0314_v0	90	Picture	full1i	1049515	0	2	2500	3	0	2450	other	0
07_S0314_v0	91	Picture	full0n	1061682	0	1	4333	2	0	4290	other	0
07_S0314_v0	92	Picture	full0i	1074515	0	2	4001	3	0	3950	other	0
07_S0314_v0	93	Picture	full0n	1086682	0	2	4167	3	0	4120	other	0
07_S0314_v0	94	Picture	full1n	1098849	0	2	4167	3	0	4120	other	0
07_S0314_v0	95	Picture	full0i	1112016	0	1	4333	3	0	4290	other	0
07_S0314_v0	96	Picture	blue1i	1123516	0	2	4000	4	0	3950	false_alarm	105
07_S0314_v0	96	Response	10	1128161	4645	2
07_S0314_v0	97	Picture	full0n	1134516	0	2	2834	3	0	2790	other	0
07_S0314_v0	98	Picture	full1n	1145850	0	1	4167	2	0	4120	other	0
07_S0314_v0	99	Picture	full0i	1158517	0	1	3166	3	0	3120	other	0
07_S0314_v0	100	Picture	full0n	1171184	0	1	3666	2	0	3620	other	0
07_S0314_v0	101	Picture	full1i	1184017	0	2	3834	3	0	3790	other	0
07_S0314_v0	102	Picture	full0i	1197517	0	2	3500	4	0	3450	other	0
07_S0314_v0	103	Picture	full0n	1209851	0	1	2500	2	0	2450	other	0
07_S0314_v0	104	Picture	full0i	1221351	0	1	2833	3	0	2790	other	0
07_S0314_v0	105	Picture	full0n	1232684	0	2	3500	4	0	3450	other	0
07_S0314_v0	106	Picture	full0i	1245018	0	1	3000	2	0	2950	other	0
07_S0314_v0	107	Picture	full1n	1257185	0	1	5000	2	0	4950	other	0
07_S0314_v0	108	Picture	full0n	1269352	0	1	4333	2	0	4290	other	0
07_S0314_v0	109	Picture	full0i	1281685	0	2	4834	3	0	4790	other	0
07_S0314_v0	110	Picture	full0n	1295185	0	2	3500	4	0	3450	other	0
07_S0314_v0	111	Picture	blue0i	1307019	0	1	3833	3	0	3790	false_alarm	121
07_S0314_v0	111	Response	10	1310861	3842	3
07_S0314_v0	112	Picture	full0n	1319186	0	1	3333	2	0	3290	other	0
07_S0314_v0	113	Picture	full0i	1332353	0	1	3000	2	0	2950	other	0
07_S0314_v0	114	Picture	full1i	1343353	0	1	2667	2	0	2620	other	0
07_S0314_v0	115	Picture	full1n	1356520	0	1	3333	2	0	3290	other	0
07_S0314_v0	116	Picture	full0n	1369687	0	1	4833	2	0	4790	other	0
07_S0314_v0	117	Picture	full1i	1383187	0	1	4333	2	0	4290	other	0
07_S0314_v0	118	Picture	full1n	1395354	0	1	3832	5	0	3790	other	0
07_S0314_v0	119	Picture	full1i	1407187	0	1	4000	2	0	3950	other	0
07_S0314_v0	120	Picture	full1n	1418021	0	1	3166	3	0	3120	other	0
07_S0314_v0	121	Picture	blue0i	1430188	0	1	4333	2	0	4290	false_alarm	132
07_S0314_v0	121	Response	10	1434161	3973	2
07_S0314_v0	122	Picture	full0n	1442021	0	1	3000	2	0	2950	other	0
07_S0314_v0	123	Picture	full0i	1454354	0	2	4334	3	0	4290	other	0
07_S0314_v0	124	Picture	full1i	1467521	0	2	2667	3	0	2620	other	0
07_S0314_v0	125	Picture	full0n	1478355	0	1	4167	2	0	4120	other	0
07_S0314_v0	126	Picture	full0i	1490522	0	1	4833	2	0	4790	other	0
07_S0314_v0	127	Picture	full0n	1503189	0	1	2666	3	0	2620	other	0
07_S0314_v0	128	Picture	full0i	1516022	0	1	3167	2	0	3120	other	0
07_S0314_v0	129	Picture	full0n	1528856	0	1	4833	2	0	4790	other	0
07_S0314_v0	130	Picture	full0i	1541022	0	2	3667	3	0	3620	other	0
07_S0314_v0	131	Picture	blue1n	1553356	0	1	4500	2	0	4450	false_alarm	143
07_S0314_v0	131	Response	10	1557261	3905	2
