Scenario - visual LTP Rap V4.0 HVB (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 03/23/2015 11:06:13

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

08-0303	1	Response	128	-5970	3863	1
08-0303	3	Picture	full1n	4499	0	2	4667	3	0	4620
08-0303	4	Picture	full0n	15969	0	198	2697	199	0	2620
08-0303	5	Picture	full0i	27833	0	1	4333	2	0	4290
08-0303	6	Picture	blue0n	40633	0	201	2700	202	0	2620
08-0303	6	Response	10	48028	7395	1
08-0303	7	Picture	full1i	52633	0	201	4033	202	0	3950
08-0303	8	Picture	full1n	63666	0	1	2500	2	0	2450
08-0303	9	Picture	full0i	75000	0	1	4833	2	0	4790
08-0303	10	Picture	full1i	85833	0	1	2500	2	0	2450
08-0303	11	Picture	full0n	98000	0	1	2833	2	0	2790
08-0303	12	Picture	full1n	111500	0	1	4667	2	0	4620
08-0303	13	Picture	full1i	123667	0	1	4833	2	0	4790
08-0303	14	Picture	full1n	134500	0	1	4167	2	0	4120
08-0303	15	Picture	full1i	147333	0	1	4667	2	0	4620
08-0303	16	Picture	full0i	160500	0	1	4000	2	0	3950
08-0303	17	Picture	blue0n	173167	0	1	3000	2	0	2950
08-0303	17	Response	10	180525	7358	2
08-0303	18	Picture	full0i	185333	0	2	4334	3	0	4290
08-0303	19	Picture	full0n	196167	0	1	4166	3	0	4120
08-0303	20	Picture	full1n	208834	0	1	3166	2	0	3120
08-0303	21	Picture	full0i	219834	0	1	3833	2	0	3790
08-0303	22	Picture	full0n	232667	0	1	4167	2	0	4120
08-0303	23	Picture	full1i	244167	0	1	2500	2	0	2450
08-0303	24	Picture	full1n	256000	0	1	4167	2	0	4120
08-0303	25	Picture	full0i	266834	0	1	3000	2	0	2950
08-0303	26	Picture	full0n	279500	0	2	2834	3	0	2790
08-0303	27	Picture	full0i	291334	0	1	3166	3	0	3120
08-0303	28	Picture	full1i	302834	0	1	4833	2	0	4790
08-0303	29	Picture	blue1n	314167	0	1	4167	2	0	4120
08-0303	30	Picture	full0n	325667	0	1	5000	2	0	4950
08-0303	31	Picture	full1i	337834	0	1	4500	2	0	4450
08-0303	32	Picture	full1n	349167	0	1	4500	2	0	4450
08-0303	33	Picture	full1i	360501	0	1	4166	2	0	4120
08-0303	34	Picture	full1n	374001	0	1	4500	2	0	4450
08-0303	35	Picture	full0i	386834	0	1	2500	2	0	2450
08-0303	36	Picture	full0n	398168	0	1	4000	2	0	3950
08-0303	37	Picture	full0i	410834	0	1	4834	2	0	4790
08-0303	38	Picture	full1i	422334	0	1	2834	2	0	2790
08-0303	39	Picture	full1n	435501	0	1	4333	2	0	4290
08-0303	40	Picture	full1i	447668	0	1	3333	2	0	3290
08-0303	41	Picture	full1n	460001	0	1	5000	2	0	4950
08-0303	42	Picture	full0n	472334	0	2	3167	3	0	3120
08-0303	43	Picture	full0i	483835	0	1	4000	2	0	3950
08-0303	44	Picture	full0n	497335	0	1	4000	2	0	3950
